RowID	TableID	RhymeSegment	page	row_in_source	raw_text	rhyme_raw	OC_RhymeGroup	tones_raw	rhyme_tokens	tone_tokens	rhyme_numbers	source	alignment_issue	notes	image_refs
ROW_P169_T001_p169_r0003	P169_T001	3	169	2	方、章 陽部 平—平 《爲吏之道》	方、章	陽部	平—平	方 | 章	平 | 平		《爲吏之道》		"{""cells"": [""3"", ""方、章"", ""陽部"", ""平—平"", ""《爲吏之道》""], ""cells_with_img_placeholders"": [""3"", ""方、章"", ""陽部"", ""平—平"", ""《爲吏之道》""], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], []], ""has_images"": false}"	
ROW_P169_T001_p169_r0004	P169_T001	3	169	3	員、門 文部 平—平	員、門	文部	平—平	員 | 門	平 | 平		《爲吏之道》		"{""cells"": ["""", ""員、門"", ""文部"", ""平—平"", """"], ""cells_with_img_placeholders"": ["""", ""員、門"", ""文部"", ""平—平"", """"], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], []], ""has_images"": false}"	
ROW_P169_T001_p169_r0005	P169_T001	5	169	4	哀、衰、柔 微、幽部 平—平—平	哀、衰、柔	微、幽部	平—平—平	哀 | 衰 | 柔	平 | 平 | 平		《爲吏之道》		"{""cells"": [""5"", ""哀、衰、柔"", ""微、幽部"", ""平—平—平"", """"], ""cells_with_img_placeholders"": [""5"", ""哀、衰、柔"", ""微、幽部"", ""平—平—平"", """"], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], [], []], ""has_images"": false}"	
ROW_P169_T001_p169_r0006	P169_T001	9	169	5	身、貧、存 真、文部 平—平—平	身、貧、存	真、文部	平—平—平	身 | 貧 | 存	平 | 平 | 平		《爲吏之道》		"{""cells"": [""9"", ""身、貧、存"", ""真、文部"", ""平—平—平"", """"], ""cells_with_img_placeholders"": [""9"", ""身、貧、存"", ""真、文部"", ""平—平—平"", """"], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], [], []], ""has_images"": false}"	
ROW_P169_T001_p169_r0007	P169_T001	14	169	6	歸、遺、追 微部 平—平—平	歸、遺、追	微部	平—平—平	歸 | 遺 | 追	平 | 平 | 平		《爲吏之道》		"{""cells"": [""14"", ""歸、遺、追"", ""微部"", ""平—平—平"", """"], ""cells_with_img_placeholders"": [""14"", ""歸、遺、追"", ""微部"", ""平—平—平"", """"], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], [], []], ""has_images"": false}"	
ROW_P169_T001_p169_r0008	P169_T001	20	169	7	徵、興、乘 蒸部 平—平—平	徵、興、乘	蒸部	平—平—平	徵 | 興 | 乘	平 | 平 | 平		《爲吏之道》		"{""cells"": [""20"", ""徵、興、乘"", ""蒸部"", ""平—平—平"", """"], ""cells_with_img_placeholders"": [""20"", ""徵、興、乘"", ""蒸部"", ""平—平—平"", """"], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], [], []], ""has_images"": false}"	
ROW_P169_T001_p169_r0009	P169_T001	24	169	8	成、寧、經 耕部 平—平—平	成、寧、經	耕部	平—平—平	成 | 寧 | 經	平 | 平 | 平		《爲吏之道》		"{""cells"": [""24"", ""成、寧、經"", ""耕部"", ""平—平—平"", """"], ""cells_with_img_placeholders"": [""24"", ""成、寧、經"", ""耕部"", ""平—平—平"", """"], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], [], []], ""has_images"": false}"	
ROW_P169_T001_p169_r0010	P169_T001	26	169	9	追、遺、歸 微部 平—平—平	追、遺、歸	微部	平—平—平	追 | 遺 | 歸	平 | 平 | 平		《爲吏之道》		"{""cells"": [""26"", ""追、遺、歸"", ""微部"", ""平—平—平"", """"], ""cells_with_img_placeholders"": [""26"", ""追、遺、歸"", ""微部"", ""平—平—平"", """"], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], [], []], ""has_images"": false}"	
ROW_P169_T001_p169_r0011	P169_T001	28	169	10	人、身、真、親 真部 平—平—平—平	人、身、真、親	真部	平—平—平—平	人 | 身 | 真 | 親	平 | 平 | 平 | 平		《爲吏之道》		"{""cells"": [""28"", ""人、身、真、親"", ""真部"", ""平—平—平—平"", """"], ""cells_with_img_placeholders"": [""28"", ""人、身、真、親"", ""真部"", ""平—平—平—平"", """"], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], [], [], []], ""has_images"": false}"	
ROW_P169_T001_p169_r0012	P169_T001	34	169	11	方、長、陽 陽部 平—平—平	方、長、陽	陽部	平—平—平	方 | 長 | 陽	平 | 平 | 平		《爲吏之道》		"{""cells"": [""34"", ""方、長、陽"", ""陽部"", ""平—平—平"", """"], ""cells_with_img_placeholders"": [""34"", ""方、長、陽"", ""陽部"", ""平—平—平"", """"], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], [], []], ""has_images"": false}"	
ROW_P169_T001_p169_r0013	P169_T001	35	169	12	關、言 元部 平—平	關、言	元部	平—平	關 | 言	平 | 平		《爲吏之道》		"{""cells"": [""35"", ""關、言"", ""元部"", ""平—平"", """"], ""cells_with_img_placeholders"": [""35"", ""關、言"", ""元部"", ""平—平"", """"], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], []], ""has_images"": false}"	
ROW_P169_T001_p169_r0014	P169_T001	35	169	13	幾、追 微部 平—平	幾、追	微部	平—平	幾 | 追	平 | 平		《爲吏之道》		"{""cells"": ["""", ""幾、追"", ""微部"", ""平—平"", """"], ""cells_with_img_placeholders"": ["""", ""幾、追"", ""微部"", ""平—平"", """"], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], []], ""has_images"": false}"	
ROW_P169_T001_p169_r0015	P169_T001	37	169	14	人、人 真部 平—平	人、人	真部	平—平	人 | 人	平 | 平		《爲吏之道》		"{""cells"": [""37"", ""人、人"", ""真部"", ""平—平"", """"], ""cells_with_img_placeholders"": [""37"", ""人、人"", ""真部"", ""平—平"", """"], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], []], ""has_images"": false}"	
ROW_P169_T001_p169_r0016	P169_T001	39	169	15	年、成 真、耕部 平—平	年、成	真、耕部	平—平	年 | 成	平 | 平		《爲吏之道》		"{""cells"": [""39"", ""年、成"", ""真、耕部"", ""平—平"", """"], ""cells_with_img_placeholders"": [""39"", ""年、成"", ""真、耕部"", ""平—平"", """"], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], []], ""has_images"": false}"	
ROW_P169_T001_p169_r0017	P169_T001	41	169	16	光、王 陽部 平—平 《稷辰》	光、王	陽部	平—平	光 | 王	平 | 平		《稷辰》		"{""cells"": [""41"", ""光、王"", ""陽部"", ""平—平"", ""《稷辰》""], ""cells_with_img_placeholders"": [""41"", ""光、王"", ""陽部"", ""平—平"", ""《稷辰》""], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], []], ""has_images"": false}"	
ROW_P169_T001_p169_r0018	P169_T001	44	169	17	陽、行 陽部 平—平	陽、行	陽部	平—平	陽 | 行	平 | 平		《稷辰》		"{""cells"": [""44"", ""陽、行"", ""陽部"", ""平—平"", """"], ""cells_with_img_placeholders"": [""44"", ""陽、行"", ""陽部"", ""平—平"", """"], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], []], ""has_images"": false}"	
ROW_P169_T001_p169_r0019	P169_T001	45	169	18	夫、如、昌 魚、陽部 平—平—平	夫、如、昌	魚、陽部	平—平—平	夫 | 如 | 昌	平 | 平 | 平		《稷辰》		"{""cells"": [""45"", ""夫、如、昌"", ""魚、陽部"", ""平—平—平"", """"], ""cells_with_img_placeholders"": [""45"", ""夫、如、昌"", ""魚、陽部"", ""平—平—平"", """"], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], [], []], ""has_images"": false}"	
ROW_P169_T001_p169_r0020	P169_T001	51	169	19	方、羊、亡、英、 鄉 陽部 平—平—平— 平—平 《歲》	"方、羊、亡、英、
鄉"	陽部	"平—平—平—
平—平"	方 | 羊 | 亡 | 英 | 鄉	平 | 平 | 平 | 平 | 平		《歲》		"{""cells"": [""51"", ""方、羊、亡、英、\n鄉"", ""陽部"", ""平—平—平—\n平—平"", ""《歲》""], ""cells_with_img_placeholders"": [""51"", ""方、羊、亡、英、\n鄉"", ""陽部"", ""平—平—平—\n平—平"", ""《歲》""], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], [], [], [], []], ""has_images"": false}"	
ROW_P169_T001_p169_r0021	P169_T001	52	169	20	喪、英、亡、英 陽部 平—平—平—平 《十二支忌》	喪、英、亡、英	陽部	平—平—平—平	喪 | 英 | 亡 | 英	平 | 平 | 平 | 平		《十二支忌》		"{""cells"": [""52"", ""喪、英、亡、英"", ""陽部"", ""平—平—平—平"", ""《十二支忌》""], ""cells_with_img_placeholders"": [""52"", ""喪、英、亡、英"", ""陽部"", ""平—平—平—平"", ""《十二支忌》""], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], [], [], []], ""has_images"": false}"	
ROW_P169_T001_p169_r0022	P169_T001	55	169	21	行、羊、央 陽部 平—平—平 《詰》	行、羊、央	陽部	平—平—平	行 | 羊 | 央	平 | 平 | 平		《詰》		"{""cells"": [""55"", ""行、羊、央"", ""陽部"", ""平—平—平"", ""《詰》""], ""cells_with_img_placeholders"": [""55"", ""行、羊、央"", ""陽部"", ""平—平—平"", ""《詰》""], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], [], []], ""has_images"": false}"	
ROW_P169_T001_p169_r0023	P169_T001	58	169	22	中、行 冬、陽部 平—平 《馬禖》	中、行	冬、陽部	平—平	中 | 行	平 | 平		《馬禖》		"{""cells"": [""58"", ""中、行"", ""冬、陽部"", ""平—平"", ""《馬禖》""], ""cells_with_img_placeholders"": [""58"", ""中、行"", ""冬、陽部"", ""平—平"", ""《馬禖》""], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], []], ""has_images"": false}"	
ROW_P169_T001_p169_r0025	P169_T001	2	169	24	央、明 陽部 平—平 《鼠食》	央、明	陽部	平—平	央 | 明	平 | 平		《鼠食》		"{""cells"": [""2"", ""央、明"", ""陽部"", ""平—平"", ""《鼠食》""], ""cells_with_img_placeholders"": [""2"", ""央、明"", ""陽部"", ""平—平"", ""《鼠食》""], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], []], ""has_images"": false}"	
ROW_P169_T001_p169_r0026	P169_T001	8	169	25	居、家、虚、巫 魚部 平—平—平—平 《自天降令》	居、家、虚、巫	魚部	平—平—平—平	居 | 家 | 虚 | 巫	平 | 平 | 平 | 平		《自天降令》		"{""cells"": [""8"", ""居、家、虚、巫"", ""魚部"", ""平—平—平—平"", ""《自天降令》""], ""cells_with_img_placeholders"": [""8"", ""居、家、虚、巫"", ""魚部"", ""平—平—平—平"", ""《自天降令》""], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], [], [], []], ""has_images"": false}"	
ROW_P169_T001_p169_r0027	P169_T001	10	169	26	行、朢、羊、兄、 亡、喪、唐、霜 陽部 平—平—平— 平—平—平— 平—平	"行、朢、羊、兄、
亡、喪、唐、霜"	陽部	"平—平—平—
平—平—平—
平—平"	行 | 朢 | 羊 | 兄 | 亡 | 喪 | 唐 | 霜	平 | 平 | 平 | 平 | 平 | 平 | 平 | 平		《自天降令》		"{""cells"": [""10"", ""行、朢、羊、兄、\n亡、喪、唐、霜"", ""陽部"", ""平—平—平—\n平—平—平—\n平—平"", """"], ""cells_with_img_placeholders"": [""10"", ""行、朢、羊、兄、\n亡、喪、唐、霜"", ""陽部"", ""平—平—平—\n平—平—平—\n平—平"", """"], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], [], [], [], [], [], [], []], ""has_images"": false}"	
ROW_P169_T001_p169_r0028	P169_T001	15	169	27	田、申、人 真部 平—平—平	田、申、人	真部	平—平—平	田 | 申 | 人	平 | 平 | 平		《自天降令》		"{""cells"": [""15"", ""田、申、人"", ""真部"", ""平—平—平"", """"], ""cells_with_img_placeholders"": [""15"", ""田、申、人"", ""真部"", ""平—平—平"", """"], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], [], []], ""has_images"": false}"	
ROW_P169_T001_p169_r0029	P169_T001	16	169	28	鐘、明、陽 東、陽部 平—平—平	鐘、明、陽	東、陽部	平—平—平	鐘 | 明 | 陽	平 | 平 | 平		《自天降令》		"{""cells"": [""16"", ""鐘、明、陽"", ""東、陽部"", ""平—平—平"", """"], ""cells_with_img_placeholders"": [""16"", ""鐘、明、陽"", ""東、陽部"", ""平—平—平"", """"], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], [], []], ""has_images"": false}"	
ROW_P169_T001_p169_r0030	P169_T001	17	169	29	心、音、心 侵部 平—平—平	心、音、心	侵部	平—平—平	心 | 音 | 心	平 | 平 | 平		《自天降令》		"{""cells"": [""17"", ""心、音、心"", ""侵部"", ""平—平—平"", """"], ""cells_with_img_placeholders"": [""17"", ""心、音、心"", ""侵部"", ""平—平—平"", """"], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], [], []], ""has_images"": false}"	
ROW_P169_T001_p169_r0031	P169_T001	19	169	30	東、南 東、侵部 平—平	東、南	東、侵部	平—平	東 | 南	平 | 平		《自天降令》		"{""cells"": [""19"", ""東、南"", ""東、侵部"", ""平—平"", """"], ""cells_with_img_placeholders"": [""19"", ""東、南"", ""東、侵部"", ""平—平"", """"], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], []], ""has_images"": false}"	
ROW_P169_T001_p169_r0032	P169_T001	22	169	31	賓、新 真部 平—平	賓、新	真部	平—平	賓 | 新	平 | 平		《自天降令》		"{""cells"": [""22"", ""賓、新"", ""真部"", ""平—平"", """"], ""cells_with_img_placeholders"": [""22"", ""賓、新"", ""真部"", ""平—平"", """"], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], []], ""has_images"": false}"	
ROW_P170_T001_p170_r0001	P170_T001	22	170	1	冥、申 耕、真部 平—平	冥、申	耕、真部	平—平	冥 | 申	平 | 平		《自天降令》		"{""cells"": ["""", ""冥、申"", ""耕、真部"", ""平—平"", """"], ""cells_with_img_placeholders"": ["""", ""冥、申"", ""耕、真部"", ""平—平"", """"], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], []], ""has_images"": true}"	IMG_p170_001
ROW_P170_T001_p170_r0002	P170_T001	22	170	2	心、容 侵、東部 平—平	心、容	侵、東部	平—平	心 | 容	平 | 平		《自天降令》		"{""cells"": ["""", ""心、容"", ""侵、東部"", ""平—平"", """"], ""cells_with_img_placeholders"": ["""", ""心、容"", ""侵、東部"", ""平—平"", """"], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], []], ""has_images"": true}"	IMG_p170_001
ROW_P170_T001_p170_r0003	P170_T001	25	170	3	人、心 真、侵部 平—平	人、心	真、侵部	平—平	人 | 心	平 | 平		《自天降令》		"{""cells"": [""25"", ""人、心"", ""真、侵部"", ""平—平"", """"], ""cells_with_img_placeholders"": [""25"", ""人、心"", ""真、侵部"", ""平—平"", """"], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], []], ""has_images"": true}"	IMG_p170_001
ROW_P170_T001_p170_r0004	P170_T001	25	170	4	申、人 真部 平—平	申、人	真部	平—平	申 | 人	平 | 平		《自天降令》		"{""cells"": ["""", ""申、人"", ""真部"", ""平—平"", """"], ""cells_with_img_placeholders"": ["""", ""申、人"", ""真部"", ""平—平"", """"], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], []], ""has_images"": true}"	IMG_p170_001
ROW_P170_T001_p170_r0005	P170_T001	26	170	5	兢、增、 、勝、 祠 蒸、之部 平—平—平— 平—平	"兢、增、 、勝、
祠"	蒸、之部	"平—平—平—
平—平"	兢 | 增 | 勝 | 祠	平 | 平 | 平 | 平 | 平		《自天降令》	1	"{""cells"": [""26"", ""兢、增、 、勝、\n祠"", ""蒸、之部"", ""平—平—平—\n平—平"", """"], ""cells_with_img_placeholders"": [""26"", ""兢、增、 、勝、\n祠"", ""蒸、之部"", ""平—平—平—\n平—平"", """"], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], [], [], []], ""has_images"": true}"	IMG_p170_001
ROW_P170_T001_p170_r0007	P170_T001	7	170	7	成、寧、經 耕部 平—平—平 《政事之常》	成、寧、經	耕部	平—平—平	成 | 寧 | 經	平 | 平 | 平		《政事之常》		"{""cells"": [""7"", ""成、寧、經"", ""耕部"", ""平—平—平"", ""《政事之常》""], ""cells_with_img_placeholders"": [""7"", ""成、寧、經"", ""耕部"", ""平—平—平"", ""《政事之常》""], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], [], []], ""has_images"": true}"	IMG_p170_001
ROW_P170_T001_p170_r0008	P170_T001	9	170	8	天、天 真部 平—平 《歸藏》	天、天	真部	平—平	天 | 天	平 | 平		《歸藏》		"{""cells"": [""9"", ""天、天"", ""真部"", ""平—平"", ""《歸藏》""], ""cells_with_img_placeholders"": [""9"", ""天、天"", ""真部"", ""平—平"", ""《歸藏》""], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], []], ""has_images"": true}"	IMG_p170_001
ROW_P170_T001_p170_r0009	P170_T001	10	170	9	蒼、陽 陽部 平—平	蒼、陽	陽部	平—平	蒼 | 陽	平 | 平		《歸藏》		"{""cells"": [""10"", ""蒼、陽"", ""陽部"", ""平—平"", """"], ""cells_with_img_placeholders"": [""10"", ""蒼、陽"", ""陽部"", ""平—平"", """"], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], []], ""has_images"": true}"	IMG_p170_001
ROW_P170_T001_p170_r0011	P170_T001	4	170	11	身、心 真、侵部 平—平 《爲吏治官及黔 首》	身、心	真、侵部	平—平	身 | 心	平 | 平		"《爲吏治官及黔
首》"		"{""cells"": [""4"", ""身、心"", ""真、侵部"", ""平—平"", ""《爲吏治官及黔\n首》""], ""cells_with_img_placeholders"": [""4"", ""身、心"", ""真、侵部"", ""平—平"", ""《爲吏治官及黔\n首》""], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], []], ""has_images"": true}"	IMG_p170_001
ROW_P170_T001_p170_r0012	P170_T001	8	170	12	憂、交 幽、宵部 平—平	憂、交	幽、宵部	平—平	憂 | 交	平 | 平		"《爲吏治官及黔
首》"		"{""cells"": [""8"", ""憂、交"", ""幽、宵部"", ""平—平"", """"], ""cells_with_img_placeholders"": [""8"", ""憂、交"", ""幽、宵部"", ""平—平"", """"], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], []], ""has_images"": true}"	IMG_p170_001
